Hamnosys,SIGML
,hamfist
,hamflathand
,hamfinger2
         ,hamfinger23
,hamfinger23spread
 ,hamfinger2345
,hampinch12
,hampinchall
,hampinch12open
,hamcee12
,hamceeall
,hamceeopen
,hamthumboutmod
   ,hamthumbacrossmod
      ,hamthumbopenmod
   ,hamdoublebent
   ,hamfingerstraightmod
   ,hamfingerbendmod
   ,hamfingerhookmod
  ,hamdoublehooked
               ,hamthumb
 ,hamindexfinger
,hammiddlefinger
,hamringfinger
,hampinky
,hambetween
,hamfingertip
,hamfingernail
,hamfingermidjoint
,hampinky
,hamfingerbase
,hamfingerside
,hamextfingeru
,hamextfingerul
,hamextfingerl
,hamextfingerdl
,hamextfingerd
,hamextfingerdr
,hamextfingerr
,hamextfingerur
,hamextfingero
,hamextfingerol
,hamextfingerl
,hamextfingeril
,hamextfingeri
,hamextfingerir
,hamextfingerr
,hamextfingeror
  ,hambetween
 ,hamorirelative
,hamextfingeru
,hamextfingerui
,hamextfingeri
,hamextfingerdi
,hamextfingerd
,hamextfingerdo
,hamextfingero
,hamextfingeruo
,hampalmu
,hampalmul
,hampalml
,hampalmdl
,hampalmd
,hampalmdr
,hampalmr
,hampalmur
,<hamheadtop
,hamhead
,hamforehead
,hamnose
,hamnostrils
,hamlips
,hamtongue
,hamteeth
,hamchin
,hamunderchin
,hamneck
,hamshouldertop
,hamshoulders
,hamchest
,hamstomach
,hambelowstomach
,hameyebrows
,hameyes
,hamear
,hamearlobe
,hamcheek
,hamupperarm
,hamelbowinside
,hamlowerarm
,hamwristback
,hamthumbball
,hampalm
,hamhandback
,hamthumbside
,hampinkyside
,hamthumb
,hamindexfinger
,hammiddlefinger
,hamringfinger
,hampinky
,hambetween
,hamfingertip
,hamfingernail
,hamfingermidjoint
,hampinky
,hamfingerbase
,hamclose
,hamtouch
,haminterlock
,hamcross
,hambrushing
,hambehind
,hamarmextended
,hamlrbeside
,hamlrat
  ,hamdoublebent
  ,hamdoublehooked
,hammoveu
,hammoveul
,hammovel
,hammovedl
,hammoved
,hammovedr
,hammover
,hammoveur
,hammoveo
,hammoveol
,hammoveil
,hammovei
,hammoveir
,hammover
,hammoveor
,hambetween
,hammoveu
,hammoveui
,hammovei
,hammovedi
,hammoved
,hammovedo
,hammoveo
,hammoveuo
,hamfast
,hamslow
,hamtense
,hamrest
,hamhalt
,hamrepeatfromstart
,hamrepeatfromstartseveral
,hamrepeatcontinue
,hamrepeatcontinueseveral
,hamrepeatreverse
  ,hamsmallmod
  ,hamlargemod
,hamnomotion
,hamincreasing
,hamdecreasing
,hamarcl
,hamarcu
,hamarcd
,hamarcr
,hamwavy
,hamellipsev
,hamellipseur
,hamellipseh
,hamellipseul
,hamzigzag
,hamcircleu
,hamcircleul
,hamcirclel
,hamcircledl
,hamcircled
,hamcircledr
,hamcircler
,hamcircleur
,hamcircleo
,hamcircleol
,hamcirclel
,hamcircleil
,hamcirclei
,hamcircleir
,hamcircler
,hamcircleor
,hamstircw
,hamnodding
,hamtwisting
,hamreplace
,hamstirccw
,hamswinging
,hamfingerplay
,hambetween
,hamcircleu
,hamcircleui
,hamcirclei
,hamcircledi
,hamcircled
,hamcircledo
,hamcircleo
,hamcircleuo
,hamclocku
,hamclockul
,hamclockl
,hamclockdl
,hamclockd
,hamclockdr
,hamclockr
,hamclockur
,hamclockfull
,hamsymmpar
,hamsymmlr
  ,hamfingerstraightmod
  ,hamlargemod
,hamsymmlrhamfingerstraightmodhamlargemod
,hamparbegin
,hamplus
,hamparend
,hamalternatingmotion
,hamnonipsi
,hamnondominant
,hamseqbegin
,hamseqend
,hamparbegin
,hamparend
,hamfusionbegin
,hamfusionend
